no,rateContent,package,quality,price,service,logistics,other,sentiment,brand
103,好茶，口感不错,0,1,0,0,0,0,0,bl
104,不错的茶，价格实惠，喝起来也舒服，刚泡稍有些涩，后面几泡甜味十足，口感柔滑,0,1,1,0,0,0,0,bl
105,收到茶叶时，包装高档，拆开包装，拿起茶叶闻起来挺香的，所以马上泡来喝，好喝，和老公边聊天边喝茶，真好，我买的是套餐，很优惠哦,1,1,0,0,0,0,0,bl
106,好多小礼品！试了下赠品茶，还行,0,0,0,0,0,1,0,bl
107,宝贝已收到，口感很好，快递也很快，满意的网购，好评,0,1,0,0,1,0,0,bl
108,发货速度快，店主服务态度也很好，宝贝不错,0,0,0,1,1,0,0,bl
109,正品！口感不错,0,1,0,0,0,0,0,bl
110,商品包装很好,1,0,0,0,0,0,0,bl
111,包装很有档次,1,0,0,0,0,0,0,bl
112,东西不错,0,0,0,0,0,1,0,bl
113,第一次买黑茶，没想到包装这么精致。漂亮的竹制茶刀非常顺手，分茶时真的看到了金花，迫不及待地冲了一泡，味道可以接受，看了说明要醒几日才会更好喝，期待ing,1,0,0,0,0,0,0,bl
114,这个茶味道特别好，感谢店主送的小礼物，好评,0,1,0,0,0,0,0,bl
115,收到了,0,0,0,0,0,1,0,bl
116,茶不错~~确实喝了好，送的飘逸杯喜欢...泡茶很方便,0,1,0,0,0,0,0,bl
117,很满意哦。东西不错。卖家也不错。送老爸也挺开心的呢。,0,0,0,1,0,0,0,bl
118,宝贝收到了，是正品。质量不错。很满意的一次购物，下次还会再来的,0,1,0,0,0,0,0,bl
119,很实惠也很方便！好喜欢！还会再来的哦！,0,0,1,0,0,0,0,bl
120,茶叶收到了，物流挺快的，包装得很好，口感不错，很好喝，下次还会来的,1,1,0,0,1,0,0,bl
121,茶叶收到了，包装挺好的，质量不错，店家服务态度也挺好的。,1,1,0,1,0,0,0,bl
122,宝贝包装精美,1,0,0,0,0,0,0,bl
123,口感很错，送礼很体面。卖这发货速度也很快,0,1,0,0,1,0,0,bl
124,宝贝收到了，是正品口感不错，最重要的是这个价格能买到这么好的东西也算是物有所值，很满意。,0,1,1,0,0,0,0,bl
125,正品，好茶，给个赞,0,1,0,0,0,0,0,bl
126,味道甘香纯正，好喝！,0,1,0,0,0,0,0,bl
127,口感好，香味浓，值得一试，很不错的选择阿,0,1,0,0,0,0,0,bl
128,好茶，多谢送的礼品。,0,0,0,0,0,1,0,bl
129,茶味道不错，值得选购，祝店主生意兴旺！,0,1,0,0,0,0,0,bl
130,不错，是正品，口感很好，茶色很好，物流快，卖家服务好,0,1,0,1,1,0,0,bl
131,包装很好，茶叶金花满满，物流超快，送的小茶包也不错，喜欢，是个真真正正在做事情的好店家。,1,0,0,0,0,0,0,bl
132,宝贝收到了,0,0,0,0,0,1,0,bl
133,茶叶口感很不错,0,1,0,0,0,0,0,bl
134,一直在买,0,0,0,0,0,1,0,bl
135,这茶叶味道很正，喝完准备再买点，下次掌柜要打折上折哦,0,1,0,0,0,0,0,bl
136,宝贝很好远远超出我的期望值，的确是正品物美价廉谢谢老板送的小礼物。,0,0,1,0,0,0,0,bl
137,味道很好，非常喜欢喝。,0,1,0,0,0,0,0,bl
138,收到，很好，非常满意，当天就喝了，味道也很好，物流很快，没想到这么快。0,0,1,0,0,1,0,0,bl
139,质量很好,0,1,0,0,0,0,0,bl
140,谢谢卖家送的天尖试用，看来我还是喜欢带金花的茯砖茶，不过天尖的汤色很漂亮。卖家很耐心地回答了我这个外行人诸多问题，宣传册也很漂亮，的确是有品质的一款茶，收藏了！,0,0,0,1,0,0,0,bl
141,茶叶收到了，包装很好。茶叶很好闻，爸爸很喜欢。赞,1,1,0,0,0,0,0,bl
142,"谢谢杯子,茶很好",0,0,0,0,0,1,0,bl
143,口感很好，发货也很快,1,0,0,0,1,0,0,bl
144,味道不错，口味甘醇，好喝。,1,0,0,0,0,0,0,bl
145,喜欢宝贝赞一个,0,0,0,0,0,1,0,bl
146,好,0,0,0,0,0,1,0,bl
147,宝贝很好，非常满意，都说特别值，卖家的态度也很满意，发货速度超快的，很是开心，这是最满意的一次购物了，以后就买你家的了,0,0,0,1,1,0,0,bl
148,宝贝口感很好，老板服务态度也很热情，很喜欢,0,0,0,1,0,0,0,bl
149,很喜欢很正宗的黑茶,0,0,0,0,0,1,0,bl
150,老板太贴心了，送了茶样、宣传册、茶巾好多东东。还用心的给我写了留言，感觉不像是买茶这么简单，像是收到老朋友的礼物。那么贴心，真诚。当然茶更是0,0,0,0,0,0,1,0,bl
151,回家路上掉了。物可评价。,0,0,0,0,0,0,0,bl
152,宝贝不错,0,0,0,0,0,1,0,bl
153,宝贝已经收到了，很不错，闻着很清香，泡了一杯，口感很好，好评！,0,1,0,0,0,0,0,bl
154,已经是第二次购买了，依旧很好的说，好评,0,0,0,0,0,1,0,bl
155,茶叶打开后，没有异味，很清香，买之前还担心茶叶质量问题，看来是多心了,0,1,0,0,0,0,0,bl
156,沒描述的好飲,0,0,0,0,0,0,1,bl
157,真的特别棒，宝贝很不错，很值得下手～,0,0,0,0,0,1,0,bl
158,既苦又涩，与描述的大相径庭。不知我买的送错了？！,0,0,0,0,0,0,1,bl
159,宝贝很不错！！店家服务态度很好！发货速度也快！！,0,0,0,1,1,0,0,bl
160,老爹说不错,0,0,0,0,0,1,0,bl
161,不好都发霉了！,0,0,0,0,0,0,1,bl
162,"包装很高级,茶叶口感也不错,",1,1,0,0,0,0,0,bl
163,宝贝收到了，打开就很香，气味不错，泡了一杯喝口感不错，这是第一次喝，味道很正，很喜欢,0,1,0,0,0,0,0,bl
164,发货很快，质量很好，值得购买，赞一个。,0,1,0,0,1,0,0,bl
165,茶叶真的很好！卖家也很给力,0,0,0,0,0,1,0,bl
166,茶味道不错，值得选购，祝店主生意兴旺！,0,1,0,0,0,0,0,bl
167,不错，是正品，口感很好，茶色很好，物流快，卖家服务好,0,1,0,1,1,0,0,bl
168,口感好原料好,0,1,0,0,0,0,0,bl
169,东西收到了，质量不错，茶也很新鲜呢。包装也很严实。卖家很有耐心。下次还回来的。,1,1,0,0,0,0,0,bl
170,好评。挺好的,0,0,0,0,0,1,0,bl
171,宝贝收到了，很不错的哦，活动时买的，很划算，非常满意,0,0,0,0,0,1,0,bl
172,太难喝了！坑爹的玩意。,0,0,0,0,0,0,1,bl
173,宝贝收到了,0,0,0,0,0,1,0,bl
174,质量很好,0,1,0,0,0,0,0,bl
175,没味道，也不香,0,0,0,0,0,0,1,bl
176,这款产品味道很好,0,1,0,0,0,0,0,bl
177,宝贝收到很满意，包裹很严密，口感很好，非常喜欢，感谢卖家赠送的小礼物，还会再来光顾的,1,0,0,0,0,0,0,bl
178,一家店买的,0,0,0,0,0,1,0,bl
179,宝贝早就收到了，忙于出差没喝，最近两天才开始喝，口感不错，淡淡的香味挺喜欢，不错的一次网购！好评！,0,1,0,0,0,0,0,bl
180,和描述的完全一致很不错尤其送人,0,0,0,0,0,1,0,bl
181,一直购买,0,0,0,0,0,1,0,bl
182,收到了，喝过了，全家都说挺好的，卖家服务也好，价格实惠，值得推荐！,0,0,1,1,0,0,0,bl
183,朋友推荐我的，还没喝，习惯好评,0,0,0,0,0,1,0,bl
184,东西收到了。质量很好。和店家描述的一样。店家服务态度很好。下次还会再来的。,0,1,0,1,0,0,0,bl
185,宝贝收到了,0,0,0,0,0,1,0,bl
186,喝过几个品牌的黑茶，领峰山的有惊艳的感觉，首先包装很精致，一下就迷倒了，有点小资，有点硬朗。图片是第四泡了，茶汤醇厚，很耐泡。准备买点过年送礼，哈哈。,0,1,0,0,0,0,0,bl
187,很赞哦很喜欢，整体都很好，下次还来,0,0,0,0,0,1,0,bl
188,第二次购买！,0,0,0,0,0,1,0,bl
189,店家也很好描述相符,0,0,0,0,0,1,0,bl
190,包装不错，送朋友,1,0,0,0,0,0,0,bl
191,有金花，但感觉不是很多，茶喝的时候洗茶的时间要长，要不有一种说不出的怪味。洗过之后好多了。也不知道会把金花破坏了不会。茶喝上去口感一般，没有感觉有厚重的那种茶香。店家也送了茶样，很感谢。这茶同比要比淘宝其它贵，回头买了别家的比较一下，总之，这款茶没有达到我的期望值。,0,0,0,0,0,0,1,bl
192,"宝贝收到了,口感很好,是我想要的味道",0,1,0,0,0,0,0,bl
193,不是第一次买了,0,0,0,0,0,1,0,bl
194,包装不错，感谢店家送的礼物！试喝后感觉好还会购买的,1,0,0,0,0,0,0,bl
195,宝贝收到了、口感很好、以后还会光顾,0,1,0,0,0,0,0,bl
196,宝贝收到了，速度很快，口感不错，下次还会来,0,1,0,0,1,0,0,bl
197,味道很好,0,1,0,0,0,0,0,bl
198,第二次买了，很好,0,0,0,0,0,1,0,bl
199,包装得很有文化，茶也好喝,1,1,0,0,0,0,0,bl
200,非常满意,0,0,0,0,0,1,0,bl
201,刚收到，送人的，包装看起来不错,1,0,0,0,0,0,0,bl
202,不懂茶的小白说好茶！再便宜点就更好啦,0,0,0,0,0,1,0,bl
203,宝贝质量非常好。哈哈。送礼最合适不过了、赞,0,1,0,0,0,0,0,bl
204,宝贝很好，和卖家描述一样。味道很好，口感很好！值得购买的宝贝。发货速度快，包装严谨！,1,1,0,0,1,0,0,bl
205,包装好，宝贝味道不错，正品保障，商家态度好，下次还会光顾。,1,0,0,0,0,0,0,bl
206,金花多，口感好，喝完再来买。,0,1,0,0,0,0,0,bl
207,好宝贝是正品,0,0,0,0,0,1,0,bl
208,很好，发货很快！,0,0,0,0,1,0,0,bl
209,绝对黑茶，奇香无比,0,1,0,0,0,0,0,bl
210,味道不错，包装好，口味醇正，味道清新。挺好的。,1,1,0,0,0,0,0,bl
211,真品，茶的味道很不错，店家很好,0,1,0,1,0,0,0,bl
212,口感真的很不错，包装很精美，物超所值。,1,1,0,0,0,0,0,bl
213,卖家发货很快，服务很好，茶的口味很不错，整体很满意,0,1,0,1,1,0,0,bl
214,挺喜欢卖家送的小礼物的！茶叶也不错！好评！,0,1,0,0,0,1,0,bl
215,收到了，挺不错的，和描述的一样很好，值得推荐购买。,0,0,0,0,0,1,0,bl
216,货收到了，满意,0,0,0,0,0,1,0,bl
217,总体来说还是不错的，口感茶的品质都可以，可能是价格的问题，茶叶梗相对比较多哦！,0,0,0,0,0,0,1,bl
218,茶叶收到了，爷爷很喜欢，味道很不错。还会再来的。快递也很给力！,0,0,0,0,1,0,0,bl
219,货已收到，很实惠，是正品，客服服务很周到，态度很好，发货很快，赞,0,1,0,1,1,0,0,bl
220,包装很好，茶看起来不错，准备放放再喝，还送了试吃品和一些小件，好评!,1,0,0,0,0,0,0,bl
221,一如既往的好，第二次购买！,0,0,0,0,0,1,0,bl
222,不错，还会买的,0,0,0,0,0,1,0,bl
223,收到货后，连续喝了几次才评价。东西比较好，金花多，叶片较完整。口感也不错。本人常年喝黑茶，比较喜欢。唯一美中不足是，原叶发酵，属轻发酵，口感较淡，冲泡次数少。但是对品质要求高的人，也是好事。,0,0,0,0,0,0,0,bl
224,描写很真实，值得信赖购买,0,0,0,0,0,1,0,bl
225,很好,0,0,0,0,0,1,0,bl
226,很不错，确实好喝，一直很喜欢茯茶的口味！全五分啦！,0,1,0,0,0,0,0,bl
227,茶叶不错，老爸说味道很正宗。有需要还会来。,0,1,0,0,0,0,0,bl
228,宝贝很不错,0,0,0,0,0,1,0,bl
229,味道不错，茶叶很好,0,1,0,0,0,0,0,bl
230,宝贝质量不错，是正品，口感醇香浓厚，包装很好，气味闻着也不错，卖家态度也好，发货速度很快,1,1,0,1,1,0,0,bl
231,宝贝已经收到很好喝物流很快我非常喜欢,0,0,0,0,1,0,0,bl
232,不知真假，喝着还行。,0,0,0,0,0,0,1,bl
233,不知真假，喝着还行。,0,0,0,0,0,0,1,bl
234,收到就喝了味道不错好茶，很不错的，好评,0,1,0,0,0,0,0,bl
235,感觉茶叶味道挺好的，口感不错,0,1,0,0,0,0,0,bl
236,包装精美，口感相当不错了，商家态度好，以后还会再来的,1,1,0,1,0,0,0,bl
237,东西挺好的，朋友也说非常不错。,0,0,0,0,0,1,0,bl
238,很不错的宝贝！特意喝了一下来评价的！味道很好！很实惠,0,1,1,0,0,0,0,bl
239,宝贝很好，黑茶味道很好。,0,1,0,0,0,0,0,bl
240,很好，味道还不错，包装也很好，送礼很拿得出手。,1,1,0,0,0,0,0,bl
241,宝贝很好，和卖家描述一样。味道很好，口感很好！值得购买的宝贝。发货速度快，包装严谨！,1,1,0,0,1,0,0,bl
242,包装好，宝贝味道不错，正品保障，商家态度好，下次还会光顾。,1,1,0,1,0,0,0,bl
243,黑茶喝起来没什么很浓厚的茶味，听说可以降低血脂，也不晓得效果，如果在乎味道，建议购买其他品种的茶，黑茶是保健为主,0,0,0,0,0,0,1,bl
244,很好的茶，味道好，颜色红亮。送的荷香手筑也非常好喝。谢谢,0,1,0,0,0,0,0,bl
245,说是2012年,0,0,0,0,0,0,1,bl
246,东西可以。送人的,0,0,0,0,0,1,0,bl
247,包装不错，还只喝了送的茶样。但茶样比较碎。口感怎么说还行吧。,0,0,0,0,0,0,1,bl
248,还需存放段时间在喝，赠品很多待慢慢品来！再评,0,0,0,0,0,0,0,bl
249,茶砖包装非常仔细周到，而且也考虑了存放和取茶提供方便，很不错，开汤品尝虽说是较为新茶但口感也是不错的，若继续存放会更好些,1,1,0,0,0,0,0,bl
250,好茶！正是我要买的！全五分了！,0,0,0,0,0,1,0,bl
251,喝了送的天尖，不涩，挺柔和的。适合初喝茶的人。全5分。,0,1,0,0,0,0,0,bl
252,收到宝贝很惊喜，包装很好，送的小礼品也不错。特意品尝了一下，黑茶喝着也不错。店家的服务也很棒！下次还会再来的！,1,0,0,1,0,0,0,bl
253,包装好，质量好，味道也好，非常满意。,1,1,0,0,0,0,0,bl
254,第二次买了，买四送二的，口感不错味道也很好，还会继续买的！,0,1,0,0,0,0,0,bl
255,多次购买，非常好,0,0,0,0,0,1,0,bl
256,非常满意，送礼很棒，服务也超好,0,0,0,1,0,0,0,bl
257,味道不错，正品，下次还会来,0,1,0,0,0,0,0,bl
258,不错，物流也快,0,0,0,0,1,0,0,bl
259,质量好，性价比高，物超所值，值得推荐,0,1,0,0,0,0,0,bl
260,物流很快～宝贝收到了～是正品～味道很香,0,1,0,0,1,0,0,bl
261,茶叶很好我喜欢O(&cap;_&cap;)O谢谢下次我还要,0,0,0,0,0,1,0,bl
262,货已收到，物流和服务都挺满意的，品尝后再来追评!,0,0,0,1,1,0,0,bl
263,宝贝超好，一直喝的这种，价格实在是太便宜了,0,0,1,0,0,0,0,bl
264,东西很好，开始是在实体店买的，味道很醇厚，从湖南出差回青岛的时候来不及去实体店就在网上买的，送的东西很多，分茶纸，醒茶袋，茶巾，还有一小袋试用装，味道也都和实体店的一样，价钱一样网上送的东西多！下次还会来买的！0,0,1,0,0,0,0,0,bl
265,爸爸说味道还可以,0,1,0,0,0,0,0,bl
266,亲戚推荐，不错。送了好多东西啊，祝生意兴隆！,0,0,0,0,0,1,0,bl
267,有品位有档次，送的飘逸杯也非常精致！,0,0,0,0,0,1,0,bl
268,看上去还可以1,0,0,0,0,0,1,0,bl
269,竟然忘记付款了，在店主家买了好几次不下10盒，质量如一五星！,0,1,0,0,0,0,0,bl
270,看着还行，先给好评等喝了在来追评,0,0,0,0,0,0,0,bl
271,第三次买了，一直很好，喝完再买,0,0,0,0,0,1,0,bl
272,包装盒非常精致，还有赠品，，第一次购买黑茶，这是给我老公的礼物，谢谢老板?,1,0,0,0,0,0,0,bl
273,一直不知道该如何评价。个人喝红茶多一些，这次与黑茶比较才明白更喜欢红茶的味道。没有涩感，有回甜、有青草味道。其它的待追评吧。茶刀很精致，喜欢。,0,0,0,0,0,0,0,bl
274,喝着不错，金花很多，第二次买了！,0,1,0,0,0,0,0,bl
275,老顾客了，买了很多次。领峰现在越做越好，过年还送了荷香茶，赞！,0,0,0,0,0,1,0,bl
276,好东西，以后会定点购买,0,0,0,0,0,1,0,bl
277,包装很好。味道不错,1,1,0,0,0,0,0,bl
278,黑茶喝起来没什么很浓厚的茶味，听说可以降低血脂，也不晓得效果，如果在乎味道，建议购买其他品种的茶，黑茶是保健为主,0,0,0,0,0,0,1,bl
279,很好的茶，味道好，颜色红亮。送的荷香手筑也非常好喝。谢谢,0,1,0,0,0,0,0,bl
280,茶收到，挺精致的，明天开始喝。,0,0,0,0,0,1,0,bl
281,宝贝收到了，物超所值，包装也很好，下次还来?,1,0,0,0,0,0,0,bl
282,很好，什么茶都可以泡，快速,0,0,0,0,1,0,0,bl
283,茶叶确实不错，尤其用泡茶机泡出来的茶更香更醇！,0,1,0,0,0,0,0,bl
284,以前也买过，价格涨了不少。但东西还是一样的好，而且店家包装很用心，还送了不少小物件，好评。,1,0,0,0,0,0,0,bl
285,从领峰山开始喝黑茶之旅，带着领峰山黑茶记忆一路寻来！,0,0,0,0,0,0,0,bl
286,喝着还顺口，慢慢品着！,0,1,0,0,0,0,0,bl
287,很好喝，常客,0,1,0,0,0,0,0,bl
288,试喝，口感不错，性价比较高，是款好茶。就是物流服务差了些。,0,0,0,0,0,0,1,bl
289,茶不错，送人也拿得出手。包装也正合适，不喜欢过度浮夸的包装。,1,0,0,0,0,0,0,bl
290,下雪天还能及时送到货，强。名副其实湖南安化特产！,0,0,0,0,1,0,0,bl
291,一直很喜欢的，第一次在网上买&hellip;包装精美&hellip;价格实惠,1,0,1,0,0,0,0,bl
292,送了茶样，包装很好，满意！,1,0,0,0,0,0,0,bl
293,总体很满意。之前就喝过黑茶，但是第一次买这家的。茶叶挺满意的，颜色啊味道都很喜欢。唯一不好就是快递送来箱子里撒的到处都是，送的赠品全废了。心疼啊。,0,0,0,0,0,0,1,bl
294,总体很满意。之前就喝过黑茶，但是第一次买这家的。茶叶挺满意的，颜色啊味道都很喜欢。唯一不好就是快递送来箱子里撒的到处都是，送的赠品全废了。心疼啊。,0,0,0,0,0,0,1,bl
295,适合送礼，也适合自己喝，卖家的品牌意识很强，看好你们,0,0,0,0,0,1,0,bl
296,第二次买了，喜欢。,0,0,0,0,0,0,0,bl
297,挺好喝的，分量挺足，满意,0,0,0,0,0,1,0,bl
298,很满意的一次购物，是我想要的东西，正品！值得推荐，下次还会继续来的,0,0,0,0,0,0,0,bl
299,包装很严实哦,1,0,0,0,0,0,0,bl
300,黑茶收到了，喝了几天才来评价，老公说口感很好，很不错，包装也很精致！,1,1,0,0,0,0,0,bl
